text,shares,likes,comments,label
Sample news article content 0. This is synthetic text for training.,1970,9212,1184,FAKE
Sample news article content 1. This is synthetic text for training.,3822,9638,1451,REAL
Sample news article content 2. This is synthetic text for training.,2819,7756,70,FAKE
Sample news article content 3. This is synthetic text for training.,902,6948,519,FAKE
Sample news article content 4. This is synthetic text for training.,364,5755,1992,FAKE
Sample news article content 5. This is synthetic text for training.,4258,3602,897,REAL
Sample news article content 6. This is synthetic text for training.,3119,5062,912,FAKE
Sample news article content 7. This is synthetic text for training.,2558,8071,1075,FAKE
Sample news article content 8. This is synthetic text for training.,1863,7244,1068,FAKE
Sample news article content 9. This is synthetic text for training.,115,6372,292,REAL
Sample news article content 10. This is synthetic text for training.,2384,7105,937,FAKE
Sample news article content 11. This is synthetic text for training.,4976,3581,811,FAKE
Sample news article content 12. This is synthetic text for training.,3935,2762,1488,FAKE
Sample news article content 13. This is synthetic text for training.,4935,572,1908,FAKE
Sample news article content 14. This is synthetic text for training.,2490,7705,1573,REAL
Sample news article content 15. This is synthetic text for training.,942,614,866,FAKE
Sample news article content 16. This is synthetic text for training.,1724,4050,379,REAL
Sample news article content 17. This is synthetic text for training.,2334,325,1006,REAL
Sample news article content 18. This is synthetic text for training.,2767,3740,1766,REAL
Sample news article content 19. This is synthetic text for training.,1137,358,1501,FAKE
Sample news article content 20. This is synthetic text for training.,2527,3777,261,REAL
Sample news article content 21. This is synthetic text for training.,4117,5906,579,FAKE
Sample news article content 22. This is synthetic text for training.,3420,1721,1202,REAL
Sample news article content 23. This is synthetic text for training.,4778,1349,356,REAL
Sample news article content 24. This is synthetic text for training.,3906,3696,1442,REAL
Sample news article content 25. This is synthetic text for training.,3637,3896,697,REAL
Sample news article content 26. This is synthetic text for training.,2953,4260,1976,REAL
Sample news article content 27. This is synthetic text for training.,2367,9788,1224,REAL
Sample news article content 28. This is synthetic text for training.,4221,9819,1925,REAL
Sample news article content 29. This is synthetic text for training.,276,6941,1036,REAL
Sample news article content 30. This is synthetic text for training.,1999,3808,442,FAKE
Sample news article content 31. This is synthetic text for training.,1227,5246,725,FAKE
Sample news article content 32. This is synthetic text for training.,3752,8384,1755,REAL
